infinitiv	praes1	praes2	praes3	praes4	praes5	praes6	praet1	praet2	praet3	praet4	praet5	praet6	partizip2	imp_sg	imp_pl
wegtrotten	trotte weg	trottest weg	trottet weg	trotten weg	trottet weg	trotten weg	trottete weg	trottetest weg	trottete weg	trotteten weg	trottetet weg	trotteten weg	weggetrottet	trott weg	trottet weg
wegtun	tue weg	tust weg	tut weg	tun weg	tut weg	tun weg	tat weg	tatest weg	tat weg	taten weg	tatet weg	taten weg	weggetan	tu weg	tut weg
wegwaschen	wasche weg	wäschst weg	wäscht weg	waschen weg	wascht weg	waschen weg	wusch weg	wuschst weg	wusch weg	wuschen weg	wuscht weg	wuschen weg	weggewaschen	wasch weg	wascht weg
wegwenden	wende weg	wendest weg	wendet weg	wenden weg	wendet weg	wenden weg	wandte weg	wandtest weg	wandte weg	wandten weg	wandtet weg	wandten weg	weggewandt	wende weg	wendet weg
wegwerfen	werfe weg	wirfst weg	wirft weg	werfen weg	werft weg	werfen weg	warf weg	warfst weg	warf weg	warfen weg	warft weg	warfen weg	weggeworfen	wirf weg	werft weg
wegwischen	wische weg	wischst weg	wischt weg	wischen weg	wischt weg	wischen weg	wischte weg	wischtest weg	wischte weg	wischten weg	wischtet weg	wischten weg	weggewischt	wisch weg	wischt weg
wegwollen	will weg	willst weg	will weg	wollen weg	wollt weg	wollen weg	wollte weg	wolltest weg	wollte weg	wollten weg	wolltet weg	wollten weg	weggewollt		
wegwählen	wähle weg	wählst weg	wählt weg	wählen weg	wählt weg	wählen weg	wählte weg	wähltest weg	wählte weg	wählten weg	wähltet weg	wählten weg	weggewählt	wähl weg	wählt weg
wegwälzen	wälze weg	wälzt weg	wälzt weg	wälzen weg	wälzt weg	wälzen weg	wälzte weg	wälztest weg	wälzte weg	wälzten weg	wälztet weg	wälzten weg	weggewälzt	wälz weg	wälzt weg
wegzappen	zappe weg	zappst weg	zappt weg	zappen weg	zappt weg	zappen weg	zappte weg	zapptest weg	zappte weg	zappten weg	zapptet weg	zappten weg	weggezappt	zappe weg	zappt weg
wegzaubern	zauber weg	zauberst weg	zaubert weg	zaubern weg	zaubert weg	zaubern weg	zauberte weg	zaubertest weg	zauberte weg	zauberten weg	zaubertet weg	zauberten weg	weggezaubert	zauber weg	zaubert weg
wegzerren	zerre weg	zerrst weg	zerrt weg	zerren weg	zerrt weg	zerren weg	zerrte weg	zerrtest weg	zerrte weg	zerrten weg	zerrtet weg	zerrten weg	weggezerrt	zerr weg	zerrt weg
wegziehen	ziehe weg	ziehst weg	zieht weg	ziehen weg	zieht weg	ziehen weg	zog weg	zogst weg	zog weg	zogen weg	zogt weg	zogen weg	weggezogen	zieh weg	zieht weg
wegzählen	zähle weg	zählst weg	zählt weg	zählen weg	zählt weg	zählen weg	zählte weg	zähltest weg	zählte weg	zählten weg	zähltet weg	zählten weg	weggezählt	zähl weg	zählt weg
wegätzen	ätze weg	ätzt weg	ätzt weg	ätzen weg	ätzt weg	ätzen weg	ätzte weg	ätztest weg	ätzte weg	ätzten weg	ätztet weg	ätzten weg	weggeätzt	ätz weg	ätzt weg
wehen	wehe	wehst	weht	wehen	weht	wehen	wehte	wehtest	wehte	wehten	wehtet	wehten	geweht	wehe	weht
