infinitiv	praes1	praes2	praes3	praes4	praes5	praes6	praet1	praet2	praet3	praet4	praet5	praet6	partizip2	imp_sg	imp_pl
rammen	ramm	rammst	rammt	rammen	rammt	rammen	rammte	rammtest	rammte	rammten	rammtet	rammten	gerammt	ramme	rammt
ramponieren	ramponiere	ramponierst	ramponiert	ramponieren	ramponiert	ramponieren	ramponierte	ramponiertest	ramponierte	ramponierten	ramponiertet	ramponierten	ramponiert	ramponier	ramponiert
ramschen	ramsche	ramschst	ramscht	ramschen	ramscht	ramschen	ramschte	ramschtest	ramschte	ramschten	ramschtet	ramschten	geramscht	ramsch	ramscht
randalieren	randaliere	randalierst	randaliert	randalieren	randaliert	randalieren	randalierte	randaliertest	randalierte	randalierten	randaliertet	randalierten	randaliert	randaliere	randaliert
randen	rande	randest	randet	randen	randet	randen	randete	randetest	randete	randeten	randetet	randeten	gerandet	rande	randet
randomisieren	randomisiere	randomisierst	randomisiert	randomisieren	randomisiert	randomisieren	randomisierte	randomisiertest	randomisierte	randomisierten	randomisiertet	randomisierten	randomisiert	randomisiere	randomisiert
rangeln	rangle	rangelst	rangelt	rangeln	rangelt	rangeln	rangelte	rangeltest	rangelte	rangelten	rangeltet	rangelten	gerangelt	rangele	rangelt
ranggeln	ranggle	ranggelst	ranggelt	ranggeln	ranggelt	ranggeln	ranggelte	ranggeltest	ranggelte	ranggelten	ranggeltet	ranggelten	geranggelt	ranggele	ranggelt
rangieren	rangiere	rangierst	rangiert	rangieren	rangiert	rangieren	rangierte	rangiertest	rangierte	rangierten	rangiertet	rangierten	rangiert	rangiere	rangiert
ranken	ranke	rankst	rankt	ranken	rankt	ranken	rankte	ranktest	rankte	rankten	ranktet	rankten	gerankt	ranke	rankt
ranklotzen	klotze ran	klotzt ran	klotzt ran	klotzen ran	klotzt ran	klotzen ran	klotzte ran	klotztest ran	klotzte ran	klotzten ran	klotztet ran	klotzten ran	rangeklotzt	klotz ran	klotzt ran
rankommen	komme ran	kommst ran	kommt ran	kommen ran	kommt ran	kommen ran	kam ran	kamst ran	kam ran	kamen ran	kamt ran	kamen ran	rangekommen	komm ran	kommt ran
ranlassen	lasse ran	lässt ran	lässt ran	lassen ran	lasst ran	lassen ran	ließ ran	ließest ran	ließ ran	ließen ran	ließt ran	ließen ran	rangelassen	lasse ran	lasst ran
ranmüssen	muss ran	musst ran	muss ran	müssen ran	müsst ran	müssen ran	musste ran	musstest ran	musste ran	mussten ran	musstet ran	mussten ran	rangemusst		
rappeln	rapple	rappelst	rappelt	rappeln	rappelt	rappeln	rappelte	rappeltest	rappelte	rappelten	rappeltet	rappelten	gerappelt	rapple	rappelt
rappen	rappe	rappst	rappt	rappen	rappt	rappen	rappte	rapptest	rappte	rappten	rapptet	rappten	gerappt	rapp	rappt
rapportieren	rapportiere	rapportierst	rapportiert	rapportieren	rapportiert	rapportieren	rapportierte	rapportiertest	rapportierte	rapportierten	rapportiertet	rapportierten	rapportiert	rapportiere	rapportiert
rascheln	raschle	raschelst	raschelt	rascheln	raschelt	rascheln	raschelte	rascheltest	raschelte	raschelten	rascheltet	raschelten	geraschelt	raschel	raschelt
rasen	rase	rast	rast	rasen	rast	rasen	raste	rastest	raste	rasten	rastet	rasten	gerast	ras	rast
rasieren	rasiere	rasierst	rasiert	rasieren	rasiert	rasieren	rasierte	rasiertest	rasierte	rasierten	rasiertet	rasierten	rasiert	rasier	rasiert
raspeln	rasple	raspelst	raspelt	raspeln	raspelt	raspeln	raspelte	raspeltest	raspelte	raspelten	raspeltet	raspelten	geraspelt	rasple	raspelt
rasseln	rassle	rasselst	rasselt	rasseln	rasselt	rasseln	rasselte	rasseltest	rasselte	rasselten	rasseltet	rasselten	gerasselt	rassel	rasselt
rasten	raste	rastest	rastet	rasten	rastet	rasten	rastete	rastetest	rastete	rasteten	rastetet	rasteten	gerastet	rast	rastet
rastern	raster	rasterst	rastert	rastern	rastert	rastern	rasterte	rastertest	rasterte	rasterten	rastertet	rasterten	gerastert	raster	rastert
raten	rate	rätst	rät	raten	ratet	raten	riet	rietest	riet	rieten	rietet	rieten	geraten	rate	ratet
ratifizieren	ratifiziere	ratifizierst	ratifiziert	ratifizieren	ratifiziert	ratifizieren	ratifizierte	ratifiziertest	ratifizierte	ratifizierten	ratifiziertet	ratifizierten	ratifiziert	ratifiziere	ratifiziert
rationalisieren	rationalisiere	rationalisierst	rationalisiert	rationalisieren	rationalisiert	rationalisieren	rationalisierte	rationalisiertest	rationalisierte	rationalisierten	rationalisiertet	rationalisierten	rationalisiert	rationalisier	rationalisiert
rationieren	rationiere	rationierst	rationiert	rationieren	rationiert	rationieren	rationierte	rationiertest	rationierte	rationierten	rationiertet	rationierten	rationiert	rationier	rationiert
ratschen	ratsche	ratschst	ratscht	ratschen	ratscht	ratschen	ratschte	ratschtest	ratschte	ratschten	ratschtet	ratschten	geratscht	ratsche	ratscht
ratschlagen	ratschlage	ratschlagst	ratschlagt	ratschlagen	ratschlagt	ratschlagen	ratschlagte	ratschlagtest	ratschlagte	ratschlagten	ratschlagtet	ratschlagten	geratschlagt	ratschlag	ratschlagt
rattern	ratter	ratterst	rattert	rattern	rattert	rattern	ratterte	rattertest	ratterte	ratterten	rattertet	ratterten	gerattert	rattere	rattert
ratzen	ratze	ratzt	ratzt	ratzen	ratzt	ratzen	ratzte	ratztest	ratzte	ratzten	ratztet	ratzten	geratzt	ratz	ratzt
rauben	raube	raubst	raubt	rauben	raubt	rauben	raubte	raubtest	raubte	raubten	raubtet	raubten	geraubt	raube	raubt
raubkopieren	raubkopiere	raubkopierst	raubkopiert	raubkopieren	raubkopiert	raubkopieren	raubkopierte	raubkopiertest	raubkopierte	raubkopierten	raubkopiertet	raubkopierten	raubkopiert	raubkopier	raubkopiert
rauchen	rauche	rauchst	raucht	rauchen	raucht	rauchen	rauchte	rauchtest	rauchte	rauchten	rauchtet	rauchten	geraucht	rauche	raucht
rauen	raue	raust	raut	rauen	raut	rauen	raute	rautest	raute	rauten	rautet	rauten	geraut	raue	raut
raufen	raufe	raufst	rauft	raufen	rauft	raufen	raufte	rauftest	raufte	rauften	rauftet	rauften	gerauft	raufe	rauft
raunen	raun	raunst	raunt	raunen	raunt	raunen	raunte	rauntest	raunte	raunten	rauntet	raunten	geraunt	raun	raunt
raunzen	raunze	raunzt	raunzt	raunzen	raunzt	raunzen	raunzte	raunztest	raunzte	raunzten	raunztet	raunzten	geraunzt	raunz	raunzt
rauschen	rausche	rauschst	rauscht	rauschen	rauscht	rauschen	rauschte	rauschtest	rauschte	rauschten	rauschtet	rauschten	gerauscht	rausche	rauscht
rausekeln	ekle raus	ekelst raus	ekelt raus	ekeln raus	ekelt raus	ekeln raus	ekelte raus	ekeltest raus	ekelte raus	ekelten raus	ekeltet raus	ekelten raus	rausgeekelt	ekel raus	ekelt raus
rausfinden	finde raus	findest raus	findet raus	finden raus	findet raus	finden raus	fand raus	fandest raus	fand raus	fanden raus	fandet raus	fanden raus	rausgefunden	find raus	findet raus
rausfliegen	fliege raus	fliegst raus	fliegt raus	fliegen raus	fliegt raus	fliegen raus	flog raus	flogst raus	flog raus	flogen raus	flogt raus	flogen raus	rausgeflogen	fliege raus	fliegt raus
rausgucken	gucke raus	guckst raus	guckt raus	gucken raus	guckt raus	gucken raus	guckte raus	gucktest raus	guckte raus	guckten raus	gucktet raus	guckten raus	rausgeguckt	guck raus	guckt raus
raushalten	halte raus	hältst raus	hält raus	halten raus	haltet raus	halten raus	hielt raus	hieltest raus	hielt raus	hielten raus	hieltet raus	hielten raus	rausgehalten	halt raus	haltet raus
rausholen	hole raus	holst raus	holt raus	holen raus	holt raus	holen raus	holte raus	holtest raus	holte raus	holten raus	holtet raus	holten raus	rausgeholt	hol raus	holt raus
raushängen	hänge raus	hängst raus	hängt raus	hängen raus	hängt raus	hängen raus	hängte raus	hängtest raus	hängte raus	hängten raus	hängtet raus	hängten raus	rausgehängt	häng raus	hängt raus
raushören	höre raus	hörst raus	hört raus	hören raus	hört raus	hören raus	hörte raus	hörtest raus	hörte raus	hörten raus	hörtet raus	hörten raus	rausgehört	hör raus	hört raus
rausklingeln	klingle raus	klingelst raus	klingelt raus	klingeln raus	klingelt raus	klingeln raus	klingelte raus	klingeltest raus	klingelte raus	klingelten raus	klingeltet raus	klingelten raus	rausgeklingelt	klingel raus	klingelt raus
rauskommen	komme raus	kommst raus	kommt raus	kommen raus	kommt raus	kommen raus	kam raus	kamst raus	kam raus	kamen raus	kamt raus	kamen raus	rausgekommen	komm raus	kommt raus
rauskönnen	kann raus	kannst raus	kann raus	können raus	könnt raus	können raus	konnte raus	konntest raus	konnte raus	konnten raus	konntet raus	konnten raus	rausgekonnt		
rauslassen	lasse raus	lässt raus	lässt raus	lassen raus	lasst raus	lassen raus	ließ raus	ließest raus	ließ raus	ließen raus	ließt raus	ließen raus	rausgelassen	lass raus	lasst raus
rauspauken	pauke raus	paukst raus	paukt raus	pauken raus	paukt raus	pauken raus	paukte raus	pauktest raus	paukte raus	paukten raus	pauktet raus	paukten raus	rausgepaukt	pauk raus	paukt raus
rauspumpen	pumpe raus	pumpst raus	pumpt raus	pumpen raus	pumpt raus	pumpen raus	pumpte raus	pumptest raus	pumpte raus	pumpten raus	pumptet raus	pumpten raus	rausgepumpt	pumpe raus	pumpt raus
rausreden													rausgeredet	rede raus	redet raus
rausrupfen	rupfe raus	rupfst raus	rupft raus	rupfen raus	rupft raus	rupfen raus	rupfte raus	rupftest raus	rupfte raus	rupften raus	rupftet raus	rupften raus	rausgerupft	rupf raus	rupft raus
rausrutschen	rutsche raus	rutschst raus	rutscht raus	rutschen raus	rutscht raus	rutschen raus	rutschte raus	rutschtest raus	rutschte raus	rutschten raus	rutschtet raus	rutschten raus	rausgerutscht	rutsch raus	rutscht raus
rausräumen	räum raus	räumst raus	räumt raus	räumen raus	räumt raus	räumen raus	räumte raus	räumtest raus	räumte raus	räumten raus	räumtet raus	räumten raus	rausgeräumt	räum raus	räumt raus
rausschicken	schicke raus	schickst raus	schickt raus	schicken raus	schickt raus	schicken raus	schickte raus	schicktest raus	schickte raus	schickten raus	schicktet raus	schickten raus	rausgeschickt	schick raus	schickt raus
rausschmeißen	schmeiße raus	schmeißt raus	schmeißt raus	schmeißen raus	schmeißt raus	schmeißen raus	schmiss raus	schmissest raus	schmiss raus	schmissen raus	schmisst raus	schmissen raus	rausgeschmissen	schmeiß raus	schmeißt raus
rauswürgen	würge raus	würgst raus	würgt raus	würgen raus	würgt raus	würgen raus	würgte raus	würgtest raus	würgte raus	würgten raus	würgtet raus	würgten raus	rausgewürgt	würg raus	würgt raus
rauszögern	zöger raus	zögerst raus	zögert raus	zögern raus	zögert raus	zögern raus	zögerte raus	zögertest raus	zögerte raus	zögerten raus	zögertet raus	zögerten raus	rausgezögert	zögere raus	zögert raus
raven	rave	ravst	ravt	raven	ravt	raven	ravte	ravtest	ravte	ravten	ravtet	ravten	geravt	rave	ravt
reagieren	reagiere	reagierst	reagiert	reagieren	reagiert	reagieren	reagierte	reagiertest	reagierte	reagierten	reagiertet	reagierten	reagiert	reagiere	reagiert
reaktivieren	reaktiviere	reaktivierst	reaktiviert	reaktivieren	reaktiviert	reaktivieren	reaktivierte	reaktiviertest	reaktivierte	reaktivierten	reaktiviertet	reaktivierten	reaktiviert	reaktiviere	reaktiviert
realisieren	realisiere	realisierst	realisiert	realisieren	realisiert	realisieren	realisierte	realisiertest	realisierte	realisierten	realisiertet	realisierten	realisiert	realisiere	realisiert
reanimieren	reanimiere	reanimierst	reanimiert	reanimieren	reanimiert	reanimieren	reanimierte	reanimiertest	reanimierte	reanimierten	reanimiertet	reanimierten	reanimiert	reanimier	reanimiert
rebellieren	rebelliere	rebellierst	rebelliert	rebellieren	rebelliert	rebellieren	rebellierte	rebelliertest	rebellierte	rebellierten	rebelliertet	rebellierten	rebelliert	rebelliere	rebelliert
rebeln	reble	rebelst	rebelt	rebeln	rebelt	rebeln	rebelte	rebeltest	rebelte	rebelten	rebeltet	rebelten	gerebelt	reble	rebelt
rechen	reche	rechst	recht	rechen	recht	rechen	rechte	rechtest	rechte	rechten	rechtet	rechten	gerecht	reche	recht
recherchieren	recherchiere	recherchierst	recherchiert	recherchieren	recherchiert	recherchieren	recherchierte	recherchiertest	recherchierte	recherchierten	recherchiertet	recherchierten	recherchiert	recherchiere	recherchiert
rechnen	rechne	rechnest	rechnet	rechnen	rechnet	rechnen	rechnete	rechnetest	rechnete	rechneten	rechnetet	rechneten	gerechnet	rechne	rechnet
recht haben	habe recht	hast recht	hat recht	haben recht	habt recht	haben recht	hatte recht	hattest recht	hatte recht	hatten recht	hattet recht	hatten recht	recht gehabt	habe recht	habt recht
rechten	rechte	rechtest	rechtet	rechten	rechtet	rechten	rechtete	rechtetest	rechtete	rechteten	rechtetet	rechteten	gerechtet	recht	rechtet
rechtfertigen	rechtfertige	rechtfertigst	rechtfertigt	rechtfertigen	rechtfertigt	rechtfertigen	rechtfertigte	rechtfertigtest	rechtfertigte	rechtfertigten	rechtfertigtet	rechtfertigten	gerechtfertigt	rechtfertig	rechtfertigt
rechtschreiben													rechtgeschrieben		
recken	recke	reckst	reckt	recken	reckt	recken	reckte	recktest	reckte	reckten	recktet	reckten	gereckt	reck	reckt
recyceln	recycle	recycelst	recycelt	recyceln	recycelt	recyceln	recycelte	recyceltest	recycelte	recycelten	recyceltet	recycelten	recycelt	recycele	recycelt
recyclen	recycle	recyclest	recyclet	recyclen	recyclet	recyclen	recyclete	recycletest	recyclete	recycleten	recycletet	recycleten	recyclet	recycle	recyclet
recyclieren	recycliere	recyclierst	recycliert	recyclieren	recycliert	recyclieren	recyclierte	recycliertest	recyclierte	recyclierten	recycliertet	recyclierten	recycliert	recycliere	recycliert
recykeln	recykle	recykelst	recykelt	recykeln	recykelt	recykeln	recykelte	recykeltest	recykelte	recykelten	recykeltet	recykelten	recykelt	recykele	recykelt
recyklieren	recykliere	recyklierst	recykliert	recyklieren	recykliert	recyklieren	recyklierte	recykliertest	recyklierte	recyklierten	recykliertet	recyklierten	recykliert	recyklier	recykliert
reden	rede	redest	redet	reden	redet	reden	redete	redetest	redete	redeten	redetet	redeten	geredet	red	redet
redhibieren	redhibiere	redhibierst	redhibiert	redhibieren	redhibiert	redhibieren	redhibierte	redhibiertest	redhibierte	redhibierten	redhibiertet	redhibierten	redhibiert	redhibier	redhibiert
redigieren	redigiere	redigierst	redigiert	redigieren	redigiert	redigieren	redigierte	redigiertest	redigierte	redigierten	redigiertet	redigierten	redigiert	redigiere	redigiert
reduzieren	reduziere	reduzierst	reduziert	reduzieren	reduziert	reduzieren	reduzierte	reduziertest	reduzierte	reduzierten	reduziertet	reduzierten	reduziert	reduziere	reduziert
reesen	reese	reest	reest	reesen	reest	reesen	reeste	reestest	reeste	reesten	reestet	reesten	gereest	rees	reest
referenzieren	referenziere	referenzierst	referenziert	referenzieren	referenziert	referenzieren	referenzierte	referenziertest	referenzierte	referenzierten	referenziertet	referenzierten	referenziert	referenziere	referenziert
referieren	referiere	referierst	referiert	referieren	referiert	referieren	referierte	referiertest	referierte	referierten	referiertet	referierten	referiert	referiere	referiert
reffen	reffe	reffst	refft	reffen	refft	reffen	reffte	refftest	reffte	refften	refftet	refften	gerefft	reff	refft
reflektieren	reflektiere	reflektierst	reflektiert	reflektieren	reflektiert	reflektieren	reflektierte	reflektiertest	reflektierte	reflektierten	reflektiertet	reflektierten	reflektiert	reflektiere	reflektiert
reformieren	reformiere	reformierst	reformiert	reformieren	reformiert	reformieren	reformierte	reformiertest	reformierte	reformierten	reformiertet	reformierten	reformiert	reformier	reformiert
refusieren	refusiere	refusierst	refusiert	refusieren	refusiert	refusieren	refusierte	refusiertest	refusierte	refusierten	refusiertet	refusierten	refusiert	refusier	refusiert
refutieren	refutiere	refutierst	refutiert	refutieren	refutiert	refutieren	refutierte	refutiertest	refutierte	refutierten	refutiertet	refutierten	refutiert	refutiere	refutiert
refüsieren	refüsiere	refüsierst	refüsiert	refüsieren	refüsiert	refüsieren	refüsierte	refüsiertest	refüsierte	refüsierten	refüsiertet	refüsierten	refüsiert	refüsiere	refüsiert
regalieren	regaliere	regalierst	regaliert	regalieren	regaliert	regalieren	regalierte	regaliertest	regalierte	regalierten	regaliertet	regalierten	regaliert	regaliere	regaliert
regeln	regle	regelst	regelt	regeln	regelt	regeln	regelte	regeltest	regelte	regelten	regeltet	regelten	geregelt	regle	regelt
regen	rege	regst	regt	regen	regt	regen	regte	regtest	regte	regten	regtet	regten	geregt	rege	regt
regenerieren	regeneriere	regenerierst	regeneriert	regenerieren	regeneriert	regenerieren	regenerierte	regeneriertest	regenerierte	regenerierten	regeneriertet	regenerierten	regeneriert	regeneriere	regeneriert
regerminieren			regerminiert			regerminieren			regerminierte			regerminierten	regerminiert		
regieren	regiere	regierst	regiert	regieren	regiert	regieren	regierte	regiertest	regierte	regierten	regiertet	regierten	regiert	regiere	regiert
registrieren	registriere	registrierst	registriert	registrieren	registriert	registrieren	registrierte	registriertest	registrierte	registrierten	registriertet	registrierten	registriert	registriere	registriert
reglementieren	reglementiere	reglementierst	reglementiert	reglementieren	reglementiert	reglementieren	reglementierte	reglementiertest	reglementierte	reglementierten	reglementiertet	reglementierten	reglementiert	reglementiere	reglementiert
regnen			regnet			regnen			regnete			regneten	geregnet		
regredieren	regrediere	regredierst	regrediert	regredieren	regrediert	regredieren	regredierte	regrediertest	regredierte	regredierten	regrediertet	regredierten	regrediert	regrediere	regrediert
regulieren	reguliere	regulierst	reguliert	regulieren	reguliert	regulieren	regulierte	reguliertest	regulierte	regulierten	reguliertet	regulierten	reguliert	reguliere	reguliert
regurgitieren	regurgitiere	regurgitierst	regurgitiert	regurgitieren	regurgitiert	regurgitieren	regurgitierte	regurgitiertest	regurgitierte	regurgitierten	regurgitiertet	regurgitierten	regurgitiert	regurgitiere	regurgitiert
rehabilitieren	rehabilitiere	rehabilitierst	rehabilitiert	rehabilitieren	rehabilitiert	rehabilitieren	rehabilitierte	rehabilitiertest	rehabilitierte	rehabilitierten	rehabilitiertet	rehabilitierten	rehabilitiert	rehabilitiere	rehabilitiert
reiben	reibe	reibst	reibt	reiben	reibt	reiben	rieb	riebst	rieb	rieben	riebt	rieben	gerieben	reibe	reibt
reichen	reiche	reichst	reicht	reichen	reicht	reichen	reichte	reichtest	reichte	reichten	reichtet	reichten	gereicht	reiche	reicht
reichern	reicher	reicherst	reichert	reichern	reichert	reichern	reicherte	reichertest	reicherte	reicherten	reichertet	reicherten	gereichert	reicher	reichert
reichmachen	mache reich	machst reich	macht reich	machen reich	macht reich	machen reich	machte reich	machtest reich	machte reich	machten reich	machtet reich	machten reich	reichgemacht	mach reich	macht reich
reifen	reife	reifst	reift	reifen	reift	reifen	reifte	reiftest	reifte	reiften	reiftet	reiften	gereift	reif	reift
reifizieren	reifiziere	reifizierst	reifiziert	reifizieren	reifiziert	reifizieren	reifizierte	reifiziertest	reifizierte	reifizierten	reifiziertet	reifizierten	reifiziert	reifizier	reifiziert
reihen	reihe	reihst	reiht	reihen	reiht	reihen	reihte	reihtest	reihte	reihten	reihtet	reihten	gereiht	reih	reiht
reihern	reiher	reiherst	reihert	reihern	reihert	reihern	reiherte	reihertest	reiherte	reiherten	reihertet	reiherten	gereihert	reiher	reihert
reimen	reim	reimst	reimt	reimen	reimt	reimen	reimte	reimtest	reimte	reimten	reimtet	reimten	gereimt	reime	reimt
reimplantieren	reimplantiere	reimplantierst	reimplantiert	reimplantieren	reimplantiert	reimplantieren	reimplantierte	reimplantiertest	reimplantierte	reimplantierten	reimplantiertet	reimplantierten	reimplantiert	reimplantier	reimplantiert
reimportieren	reimportiere	reimportierst	reimportiert	reimportieren	reimportiert	reimportieren	reimportierte	reimportiertest	reimportierte	reimportierten	reimportiertet	reimportierten	reimportiert	reimportier	reimportiert
reinbeißen	beiße rein	beißt rein	beißt rein	beißen rein	beißt rein	beißen rein	biss rein	bissest rein	biss rein	bissen rein	bisst rein	bissen rein	reingebissen	beiß rein	beißt rein
reinbitten	bitte rein	bittest rein	bittet rein	bitten rein	bittet rein	bitten rein	bat rein	batest rein	bat rein	baten rein	batet rein	baten rein	reingebeten	bitt rein	bittet rein
reinbuttern	butter rein	butterst rein	buttert rein	buttern rein	buttert rein	buttern rein	butterte rein	buttertest rein	butterte rein	butterten rein	buttertet rein	butterten rein	reingebuttert	butter rein	buttert rein
reinchecken	checke rein	checkst rein	checkt rein	checken rein	checkt rein	checken rein	checkte rein	checktest rein	checkte rein	checkten rein	checktet rein	checkten rein	reingecheckt	check rein	checkt rein
reinfallen	falle rein	fällst rein	fällt rein	fallen rein	fallt rein	fallen rein	fiel rein	fielst rein	fiel rein	fielen rein	fielt rein	fielen rein	reingefallen	fall rein	fallt rein
reinfeiern	feier rein	feierst rein	feiert rein	feiern rein	feiert rein	feiern rein	feierte rein	feiertest rein	feierte rein	feierten rein	feiertet rein	feierten rein	reingefeiert	feier rein	feiert rein
reinfizieren	reinfiziere	reinfizierst	reinfiziert	reinfizieren	reinfiziert	reinfizieren	reinfizierte	reinfiziertest	reinfizierte	reinfizierten	reinfiziertet	reinfizierten	reinfiziert	reinfizier	reinfiziert
reingrätschen	grätsche rein	grätschst rein	grätscht rein	grätschen rein	grätscht rein	grätschen rein	grätschte rein	grätschtest rein	grätschte rein	grätschten rein	grätschtet rein	grätschten rein	reingegrätscht	grätsch rein	grätscht rein
reinhauen	haue rein	haust rein	haut rein	hauen rein	haut rein	hauen rein	haute rein	hautest rein	haute rein	hauten rein	hautet rein	hauten rein	reingehauen	hau rein	haut rein
reinhängen													reingehängt	häng rein	hängt rein
reinigen	reinige	reinigst	reinigt	reinigen	reinigt	reinigen	reinigte	reinigtest	reinigte	reinigten	reinigtet	reinigten	gereinigt	reinig	reinigt
reinkacken	kacke rein	kackst rein	kackt rein	kacken rein	kackt rein	kacken rein	kackte rein	kacktest rein	kackte rein	kackten rein	kacktet rein	kackten rein	reingekackt	kack rein	kackt rein
reinknien													reingekniet	knie rein	kniet rein
reinkönnen	kann rein	kannst rein	kann rein	können rein	könnt rein	können rein	konnte rein	konntest rein	konnte rein	konnten rein	konntet rein	konnten rein	reingekonnt		
reinlassen	lasse rein	lässt rein	lässt rein	lassen rein	lasst rein	lassen rein	ließ rein	ließest rein	ließ rein	ließen rein	ließt rein	ließen rein	reingelassen	lass rein	lasst rein
reinlegen	lege rein	legst rein	legt rein	legen rein	legt rein	legen rein	legte rein	legtest rein	legte rein	legten rein	legtet rein	legten rein	reingelegt	leg rein	legt rein
reinmarschieren	marschiere rein	marschierst rein	marschiert rein	marschieren rein	marschiert rein	marschieren rein	marschierte rein	marschiertest rein	marschierte rein	marschierten rein	marschiertet rein	marschierten rein	reinmarschiert	marschier rein	marschiert rein
reinnehmen	nehme rein	nimmst rein	nimmt rein	nehmen rein	nehmt rein	nehmen rein	nahm rein	nahmst rein	nahm rein	nahmen rein	nahmt rein	nahmen rein	reingenommen	nimm rein	nehmt rein
reinpacken	packe rein	packst rein	packt rein	packen rein	packt rein	packen rein	packte rein	packtest rein	packte rein	packten rein	packtet rein	packten rein	reingepackt	pack rein	packt rein
reinpfeifen	pfeife rein	pfeifst rein	pfeift rein	pfeifen rein	pfeift rein	pfeifen rein	pfiff rein	pfiffst rein	pfiff rein	pfiffen rein	pfifft rein	pfiffen rein	reingepfiffen	pfeif rein	pfeift rein
reinpinkeln	pinkle rein	pinkelst rein	pinkelt rein	pinkeln rein	pinkelt rein	pinkeln rein	pinkelte rein	pinkeltest rein	pinkelte rein	pinkelten rein	pinkeltet rein	pinkelten rein	reingepinkelt	pinkel rein	pinkelt rein
reinpissen	pisse rein	pisst rein	pisst rein	pissen rein	pisst rein	pissen rein	pisste rein	pisstest rein	pisste rein	pissten rein	pisstet rein	pissten rein	reingepisst	piss rein	pisst rein
reinplatzen	platze rein	platzt rein	platzt rein	platzen rein	platzt rein	platzen rein	platzte rein	platztest rein	platzte rein	platzten rein	platztet rein	platzten rein	reingeplatzt	platz rein	platzt rein
reinpumpen	pumpe rein	pumpst rein	pumpt rein	pumpen rein	pumpt rein	pumpen rein	pumpte rein	pumptest rein	pumpte rein	pumpten rein	pumptet rein	pumpten rein	reingepumpt	pump rein	pumpt rein
reinquetschen	quetsche rein	quetschst rein	quetscht rein	quetschen rein	quetscht rein	quetschen rein	quetschte rein	quetschtest rein	quetschte rein	quetschten rein	quetschtet rein	quetschten rein	reingequetscht	quetsch rein	quetscht rein
reinrauschen	rausche rein	rauschst rein	rauscht rein	rauschen rein	rauscht rein	rauschen rein	rauschte rein	rauschtest rein	rauschte rein	rauschten rein	rauschtet rein	rauschten rein	reingerauscht	rausch rein	rauschst rein
reinreiten	reite rein	reitest rein	reitet rein	reiten rein	reitet rein	reiten rein	ritt rein	rittest rein	ritt rein	ritten rein	rittet rein	ritten rein	reingeritten	reit rein	reitet rein
reinräumen	räum rein	räumst rein	räumt rein	räumen rein	räumt rein	räumen rein	räumte rein	räumtest rein	räumte rein	räumten rein	räumtet rein	räumten rein	reingeräumt	räum rein	räumt rein
reinschauen	schaue rein	schaust rein	schaut rein	schauen rein	schaut rein	schauen rein	schaute rein	schautest rein	schaute rein	schauten rein	schautet rein	schauten rein	reingeschaut	schau rein	schaut rein
reinscheißen	scheiße rein	scheißt rein	scheißt rein	scheißen rein	scheißt rein	scheißen rein	schiss rein	schissest rein	schiss rein	schissen rein	schisst rein	schissen rein	reingeschissen	scheiß rein	scheißt rein
reinschneien	schneie rein	schneist rein	schneit rein	schneien rein	schneit rein	schneien rein	schneite rein	schneitest rein	schneite rein	schneiten rein	schneitet rein	schneiten rein	reingeschneit	schnei rein	schneit rein
reinschreiben	schreibe rein	schreibst rein	schreibt rein	schreiben rein	schreibt rein	schreiben rein	schrieb rein	schriebst rein	schrieb rein	schrieben rein	schriebt rein	schrieben rein	reingeschrieben	schreib rein	schreibt rein
reinstecken	stecke rein	steckst rein	steckt rein	stecken rein	steckt rein	stecken rein	steckte rein	stecktest rein	steckte rein	steckten rein	stecktet rein	steckten rein	reingesteckt	steck rein	steckt rein
reinstitutionalisieren	reinstitutionalisiere	reinstitutionalisierst	reinstitutionalisiert	reinstitutionalisieren	reinstitutionalisiert	reinstitutionalisieren	reinstitutionalisierte	reinstitutionalisiertest	reinstitutionalisierte	reinstitutionalisierten	reinstitutionalisiertet	reinstitutionalisierten	reinstitutionalisiert	reinstitutionalisier	reinstitutionalisiert
reinstopfen	stopfe rein	stopfst rein	stopft rein	stopfen rein	stopft rein	stopfen rein	stopfte rein	stopftest rein	stopfte rein	stopften rein	stopftet rein	stopften rein	reingestopft	stopf rein	stopft rein
reinwaschen	wasche rein	wäschst rein	wäscht rein	waschen rein	wascht rein	waschen rein	wusch rein	wuschst rein	wusch rein	wuschen rein	wuscht rein	wuschen rein	reingewaschen	wasch rein	wascht rein
reinwürgen	würge rein	würgst rein	würgt rein	würgen rein	würgt rein	würgen rein	würgte rein	würgtest rein	würgte rein	würgten rein	würgtet rein	würgten rein	reingewürgt	würg rein	würgt rein
reinziehen	ziehe rein	ziehst rein	zieht rein	ziehen rein	zieht rein	ziehen rein	zog rein	zogst rein	zog rein	zogen rein	zogt rein	zogen rein	reingezogen	zieh rein	zieht rein
reinzwängen	zwänge rein	zwängst rein	zwängt rein	zwängen rein	zwängt rein	zwängen rein	zwängte rein	zwängtest rein	zwängte rein	zwängten rein	zwängtet rein	zwängten rein	reingezwängt	zwäng rein	zwängt rein
reisen	reise	reist	reist	reisen	reist	reisen	reiste	reistest	reiste	reisten	reistet	reisten	gereist	reise	reist
reiten	reite	reitest	reitet	reiten	reitet	reiten	ritt	rittest	ritt	ritten	rittet	ritten	geritten	reit	reitet
