wort	genus	genitiv_singular	plural
Paschtunenstamm	m	Paschtunenstammes	Paschtunenstämme
Paschtunin	f	Paschtunin	Paschtuninnen
Paschtunisch	n	(des) Paschtunisch	
Paschtunisierung	f	Paschtunisierung	Paschtunisierungen
Paschtunwali	n	Paschtunwali	
Pashmina	m	Pashminas	Pashminas
Paspel		Paspel	Paspeln
Pasquill	n	Pasquills	Pasquille
Pass	m	Passes	Pässe
Pass-Straße	f	Pass-Straße	Pass-Straßen
Passa	n	Passas	
Passacaglia	f	Passacaglia	Passacaglien
Passage	f	Passage	Passagen
Passagier	m	Passagiers	Passagiere
Passagierabteil	n	Passagierabteiles	Passagierabteile
Passagierbereich	m	Passagierbereichs	Passagierbereiche
Passagierdampfer	m	Passagierdampfers	Passagierdampfer
Passagierfluglinie	f	Passagierfluglinie	Passagierfluglinien
Passagierflugzeug	n	Passagierflugzeuges	Passagierflugzeuge
Passagierin	f	Passagierin	Passagierinnen
Passagierjet	m	Passagierjets	Passagierjets
Passagierkabine	f	Passagierkabine	Passagierkabinen
Passagierkontrolle	f	Passagierkontrolle	Passagierkontrollen
Passagierkutsche	f	Passagierkutsche	Passagierkutschen
Passagierliste	f	Passagierliste	Passagierlisten
Passagiermaschine	f	Passagiermaschine	Passagiermaschinen
Passagierraum	m	Passagierraums	Passagierräume
Passagierschiff	n	Passagierschiffes	Passagierschiffe
Passagiersessel	m	Passagiersessels	Passagiersessel
Passagierverkehr	m	Passagierverkehrs	Passagierverkehre
Passagierwaggon	m	Passagierwaggons	Passagierwaggons
Passah	n	Passahs	
Passangelegenheit	f	Passangelegenheit	Passangelegenheiten
Passant	m	Passanten	Passanten
Passante	f	Passante	Passanten
Passantin	f	Passantin	Passantinnen
Passantrag	m	Passantrages	Passanträge
Passauer	m	Passauers	Passauer
Passauerin	f	Passauerin	Passauerinnen
Passbeamter	m	Passbeamten	Passbeamte
Passbehörde	f	Passbehörde	Passbehörden
Passbild	n	Passbilds	Passbilder
Passe	f	Passe	Passen
Passempfänger	m	Passempfängers	Passempfänger
Passepartout	n	Passepartouts	Passepartouts
Passer	m	Passers	Passer
Passerelle	f	Passerelle	Passerellen
Passform	f	Passform	Passformen
Passfoto	n	Passfotos	Passfotos
Passfälscher	m	Passfälschers	Passfälscher
Passfälscherin	f	Passfälscherin	Passfälscherinnen
Passgang	m	Passgangs	
Passgeber	m	Passgebers	Passgeber
Passgebühr	f	Passgebühr	Passgebühren
Passgänger	m	Passgängers	Passgänger
Passhöhe	f	Passhöhe	Passhöhen
Passiergewicht	n	Passiergewichtes	Passiergewichte
Passiermaschine	f	Passiermaschine	Passiermaschinen
Passierschein	m	Passierscheines	Passierscheine
Passierung	f	Passierung	Passierungen
Passimeter	n	Passimeters	Passimeter
Passing	n	Passings	
Passinhaber	m	Passinhabers	Passinhaber
Passinhaberin	f	Passinhaberin	Passinhaberinnen
Passion	f	Passion	Passionen
Passional	n	Passionals	Passionale
Passionsblume	f	Passionsblume	Passionsblumen
Passionsfrucht	f	Passionsfrucht	Passionsfrüchte
Passionsfruchtsaft	m	Passionsfruchtsaftes	Passionsfruchtsäfte
Passionsspiel	n	Passionsspieles	Passionsspiele
Passiv	n	Passivs	Passive
Passivierung	f	Passivierung	Passivierungen
Passivität	f	Passivität	
Passivkiffen	n	Passivkiffens	
Passivrauchen	n	Passivrauchens	
Passivraucher	m	Passivrauchers	Passivraucher
Passivraucherin	f	Passivraucherin	Passivraucherinnen
Passivsatz	m	Passivsatzes	Passivsätze
Passivstil	m	Passivstils	
Passkontrolle	f	Passkontrolle	Passkontrollen
Passnummer	f	Passnummer	Passnummern
Passpflicht	f	Passpflicht	
Passquote	f	Passquote	Passquoten
Passroute	f	Passroute	Passrouten
Passspiel	n	Passspiels	Passspiele
Passstraße	f	Passstraße	Passstraßen
Passträger	m	Passträgers	Passträger
Passung	f	Passung	Passungen
Passus	m	Passus	Passus
Passwort	n	Passworts	Passwörter
Passwortmanager	m	Passwortmanagers	Passwortmanager
Past	m	Past	
Pasta	f	Pasta	Pasten
Pastafarianismus	m	Pastafarianismus	
Paste	f	Paste	Pasten
Pastell	n	Pastells	Pastelle
Pastellbild	n	Pastellbildes	Pastellbilder
Pastellfarbe	f	Pastellfarbe	Pastellfarben
Pastetchen	n	Pastetchens	Pastetchen
Pastete	f	Pastete	Pasteten
Pasteurisation	f	Pasteurisation	Pasteurisationen
Pasteurisierung	f	Pasteurisierung	Pasteurisierungen
Pasthexe	f	Pasthexe	
Pastiche	m	Pastiches	Pastiches
Pastille	f	Pastille	Pastillen
Pastinake	f	Pastinake	Pastinaken
Pastis	m	Pastis	Pastis
Pastophorion	n	Pastophorions	Pastophorien
Pastor	m	Pastors	Pastoren
Pastoralassistent	m	Pastoralassistenten	Pastoralassistenten
Pastoralassistentin	f	Pastoralassistentin	Pastoralassistentinnen
Pastorale	f	Pastorale	Pastoralen
Pastoralreferent	m	Pastoralreferenten	Pastoralreferenten
Pastoralreferentin	f	Pastoralreferentin	Pastoralreferentinnen
Pastorat	n	Pastorats	Pastorate
Pastorensohn	m	Pastorensohns	Pastorensöhne
Pastorentochter	f	Pastorentochter	Pastorentöchter
Pastorin	f	Pastorin	Pastorinnen
Pastosität	f	Pastosität	
Pastrami		Pastrami	
Pastrami-Sandwich	n	Pastrami-Sandwichs	Pastrami-Sandwichs
Pastösität	f	Pastösität	
Patch		Patch	Patches
Patchkabel	n	Patchkabels	Patchkabel
Patchworkfamilie	f	Patchworkfamilie	Patchworkfamilien
Pate	m	Paten	Paten
Patella	f	Patella	Patellen
Patenamt	n	Patenamts	Patenämter
Patenbrigade	f	Patenbrigade	Patenbrigaden
Patenkind	n	Patenkindes	Patenkinder
Patenname	m	Patennamens	Patennamen
Patenonkel	m	Patenonkels	Patenonkel
Patenschaft	f	Patenschaft	Patenschaften
Patenstadt	f	Patenstadt	Patenstädte
Patent	n	Patentes	Patente
Patentamt	n	Patentamtes	Patentämter
Patentanspruch	m	Patentanspruchs	Patentansprüche
Patentante	f	Patentante	Patentanten
Patentfreigabe	f	Patentfreigabe	Patentfreigaben
Patentinhaber	m	Patentinhabers	Patentinhaber
Patentinhaberin	f	Patentinhaberin	Patentinhaberinnen
Patentlösung	f	Patentlösung	Patentlösungen
Patentrezept	n	Patentrezeptes	Patentrezepte
Patenttroll	m	Patenttrolls	Patenttrolle
Pater	m	Paters	PP.
Paterfamilias	m	Paterfamilias	Paterfamilias
Paternalismus	m	Paternalismus	
Paternität	f	Paternität	
Paternoster	n	Paternosters	Paternoster
Paternosterbaum	m	Paternosterbaums	Paternosterbäume
Pathergie	f	Pathergie	Pathergien
Pathergiephänomen	n	Pathergiephänomens	Pathergiephänomene
Pathogenese	f	Pathogenese	Pathogenesen
Pathogenität	f	Pathogenität	
Pathografie	f	Pathografie	Pathografien
Pathographie	f	Pathographie	Pathographien
Patholinguistik	f	Patholinguistik	
Pathologe	m	Pathologen	Pathologen
Pathologie	f	Pathologie	Pathologien
Pathologin	f	Pathologin	Pathologinnen
Pathologisierung	f	Pathologisierung	Pathologisierungen
Pathos	n	Pathos	
Pathovar	m	Pathovars	Pathovare
Patience	f	Patience	Patiencen
Patiens	n	Patiens	Patiens
Patient	m	Patienten	Patienten
Patientenakt	m	Patientenakts	Patientenakten
Patientenakte	f	Patientenakte	Patientenakten
Patientengruppe	f	Patientengruppe	Patientengruppen
Patientenkartei	f	Patientenkartei	Patientenkarteien
Patientenkohorte	f	Patientenkohorte	Patientenkohorten
Patientenliste	f	Patientenliste	Patientenlisten
Patientenmord	m	Patientenmords	Patientenmorde
Patientenmörder	m	Patientenmörders	Patientenmörder
Patientenverfügung	f	Patientenverfügung	Patientenverfügungen
Patientin	f	Patientin	Patientinnen
Patin	f	Patin	Patinnen
Patina	f	Patina	
Patio	m	Patios	Patios
Patisserie	f	Patisserie	Patisserien
Patka	m	Patka	Patkas
Patois	n	des Patois	die Patois
Patriarch	m	Patriarchen	Patriarchen
Patriarchalbasilika	f	Patriarchalbasilika	Patriarchalbasiliken
Patriarchat		Patriarchats	Patriarchate
Patriarchin	f	Patriarchin	Patriarchinnen
Patrilinearität	f	Patrilinearität	
Patrimonium	n	Patrimoniums	Patrimonien
Patriot	m	Patrioten	Patrioten
Patriotin	f	Patriotin	Patriotinnen
Patriotismus	m	Patriotismus	Patriotismen
Patristik	f	Patristik	
Patriziat	n	Patriziats	Patriziate
Patrizid	m	Patrizids	Patrizide
Patrizier	m	Patriziers	Patrizier
Patrizierfamilie	f	Patrizierfamilie	Patrizierfamilien
Patriziergeschlecht	n	Patriziergeschlechtes	Patriziergeschlechter
Patrizierhaus	n	Patrizierhauses	Patrizierhäuser
Patrizierin	f	Patrizierin	Patrizierinnen
Patriziersohn	m	Patriziersohnes	Patriziersöhne
Patrologe	m	Patrologen	Patrologen
Patrologie	f	Patrologie	
Patrologin	f	Patrologin	Patrologinnen
Patron	m	Patrons	Patrone
Patronage	f	Patronage	Patronagen
Patronat	n	Patronats	Patronate
Patrone	f	Patrone	Patronen
Patronenfilter		Patronenfilters	Patronenfilter
Patronengurt	m	Patronengurts	Patronengurte
Patronenhülse	f	Patronenhülse	Patronenhülsen
Patronenlager	n	Patronenlagers	Patronenlager
Patronenmagazin	n	Patronenmagazins	Patronenmagazine
Patronenschachtel	f	Patronenschachtel	Patronenschachteln
Patronentasche	f	Patronentasche	Patronentaschen
Patronin	f	Patronin	Patroninnen
Patronym	n	Patronyms	Patronyme
Patronymikon	n	Patronymikons	Patronymika
Patrouille	f	Patrouille	Patrouillen
Patrouillenboot	n	Patrouillenbootes	Patrouillenboote
Patrouillenflug	m	Patrouillenfluges	Patrouillenflüge
Patrouillengang	m	Patrouillengangs	Patrouillengänge
Patrouillenschiff	n	Patrouillenschiffes	Patrouillenschiffe
Patrozinium	n	Patroziniums	Patrozinien
Patschachter	m	Patschachters	Patschachter
Patsche	f	Patsche	Patschen
Patschen	m	Patschens	Patschen
Patschhand	f	Patschhand	Patschhände
Patt	n	Patts	Patts
Patte	f	Patte	Patten
Pattsituation	f	Pattsituation	Pattsituationen
Patzer	m	Patzers	Patzer
Paukal	m	Paukals	Paukale
Paukarzt	m	Paukarztes	Paukärzte
Pauke	f	Pauke	Pauken
Paukenhöhle	f	Paukenhöhle	Paukenhöhlen
Paukenschlag	m	Paukenschlages	Paukenschläge
Pauker	m	Paukers	Pauker
Paukerin	f	Paukerin	Paukerinnen
Paukist	m	Paukisten	Paukisten
Paukistin	f	Paukistin	Paukistinnen
Paukschule	f	Paukschule	Paukschulen
Paulskirche	f	Paulskirche	Paulskirchen
Paulskirchenverfassung	f	Paulskirchenverfassung	
Paulusbrief	m	Paulusbriefes	Paulusbriefe
Pauperismus	m	Pauperismus	
Pauperität	f	Pauperität	
Paurisch	n	(des) Paurisch	
Pausalform	f	Pausalform	Pausalformen
Pausbacke	f	Pausbacke	Pausbacken
Pauschalbetrag	m	Pauschalbetrages	Pauschalbeträge
Pauschale		Pauschale	Pauschalen
Pauschalität	f	Pauschalität	Pauschalitäten
Pauschalpreis	m	Pauschalpreises	Pauschalpreise
Pauschalreise	f	Pauschalreise	Pauschalreisen
Pauschaltarif	m	Pauschaltarifes	Pauschaltarife
Pauschaltourist	m	Pauschaltouristen	Pauschaltouristen
Pauschaltouristin	f	Pauschaltouristin	Pauschaltouristinnen
Pauschbetrag	m	Pauschbetrages	Pauschbeträge
Pausche	f	Pausche	Pauschen
Pauschenpferd	n	Pauschenpferds	Pauschenpferde
Pause	f	Pause	Pausen
Pausenaufsicht	f	Pausenaufsicht	Pausenaufsichten
Pausenbrot	n	Pausenbrotes	Pausenbrote
Pausendauer	f	Pausendauer	Pausendauern
Pausenhof	m	Pausenhofes	Pausenhöfe
Pausenraum	m	Pausenraumes	Pausenräume
Pausenspiel	n	Pausenspieles	Pausenspiele
Pausentee	m	Pausentees	Pausentees
Pausenverkauf	m	Pausenverkaufs	Pausenverkäufe
Pausenzeit	f	Pausenzeit	Pausenzeiten
Pauspapier	n	Pauspapieres	Pauspapiere
Pavee	m	Pavee	Pavees
Pavian	m	Pavians	Paviane
Pavianarsch	m	Pavianarsches	Pavianärsche
Pavillon	m	Pavillons	Pavillons
Pavor	m	Pavors	
Pawlatsche	f	Pawlatsche	Pawlatschen
Pawnee	m	Pawnee	Pawnee
Pax	f	Pax	
Pay-TV	n	Pay-TVs	
Paya	n	Paya	
Paydriver	m	Paydrivers	Paydriver
Paywall	f	Paywall	Paywalls
Pazifik	m	Pazifik	
Pazifikflotte	f	Pazifikflotte	Pazifikflotten
Pazifikinsel	f	Pazifikinsel	Pazifikinseln
Pazifikküste	f	Pazifikküste	Pazifikküsten
Pazifikraum	m	Pazifikraumes	
Pazifiksonne	f	Pazifiksonne	
Pazifismus	m	Pazifismus	
Pazifist	m	Pazifisten	Pazifisten
Pazifistin	f	Pazifistin	Pazifistinnen
Pazuzu	m	des Pazuzu	
Peacenik	m	Peaceniks	Peaceniks
Peak	m	Peaks	Peaks
Peanuts			Peanuts
Pebibyte	n	Pebibyte	Pebibyte
Pecan Pie	m	Pecan Pie	Pecan Pies
Pech	n	Peches	Peche
Pechfackel	f	Pechfackel	Pechfackeln
Pechgeruch	m	Pechgeruches	Pechgerüche
Pechkiefer	f	Pechkiefer	Pechkiefern
Pechnase	f	Pechnase	Pechnasen
Pechstein	m	Pechsteins	
Pechsträhne	f	Pechsträhne	Pechsträhnen
Pechtanne	f	Pechtanne	Pechtannen
Pechvogel	m	Pechvogels	Pechvögel
Pechölstein	m	Pechölsteines	Pechölsteine
Pecker	m	Peckers	Pecker
Peckerl	n	Peckerls	Peckerl
Pecorino	m	Pecorinos	Pecorinos
Peda	m	Peda	Pedas
Pedal	n	Pedals	Pedale
Pedale	f	Pedale	Pedalen
Pedalharmonium	n	Pedalharmoniums	Pedalharmonien
Pedalisierung	f	Pedalisierung	Pedalisierungen
Pedalo	n	Pedalos	Pedalos
Pedant	m	Pedanten	Pedanten
Pedanterie	f	Pedanterie	Pedanterien
Pedantin	f	Pedantin	Pedantinnen
Peddigrohr	n	Peddigrohrs	Peddigrohre
Pedelec	n	Pedelec	Pedelecs
Pedell	m	Pedells	Pedelle
Pedi	m	Pedi	Pedi
Pedikeur	m	Pedikeurs	Pedikeure
Pedikeurin	f	Pedikeurin	Pedikeurinnen
Pediküre	f	Pediküre	Pediküren
Pedologie	f	Pedologie	
Pedometer	n	Pedometers	Pedometer
Pedoskop	n	Pedoskops	Pedoskope
Pedro Ximénez	m	Pedro Ximénez	
Peekschlitten	m	Peekschlittens	Peekschlitten
Peeling	n	Peelings	Peelings
Peepshow	f	Peepshow	Peepshows
Peer	m	Peers	Peers
Peergroup	f	Peergroup	Peergroups
Pegasos	m	Pegasos	Pegasoi
Pegasus	m	Pegasus	
Pegel	m	Pegels	Pegel
Pegelstand	m	Pegelstands	Pegelstände
Pegging	n	Peggings	
Pegidist	m	Pegidisten	Pegidisten
Peilantenne	f	Peilantenne	Peilantennen
Peilsender	m	Peilsenders	Peilsender
Peilung	f	Peilung	Peilungen
Peilwagen	m	Peilwagens	Peilwagen
Pein	f	Pein	Peinen
Peiniger	m	Peinigers	Peiniger
Peinigerin	f	Peinigerin	Peinigerinnen
Peinlichkeit	f	Peinlichkeit	Peinlichkeiten
Peitsche	f	Peitsche	Peitschen
Peitschenhieb	m	Peitschenhiebes	Peitschenhiebe
Peitschenriemen	m	Peitschenriemens	Peitschenriemen
Peitschenschnur	f	Peitschenschnur	Peitschenschnüre
Pejorativsuffix	n	Pejorativsuffixes	Pejorativsuffixe
Pejorativum	n	Pejorativums	Pejorativa
Pekannuss	f	Pekannuss	Pekannüsse
Pekannussbaum	m	Pekannussbaumes	Pekannussbäume
Pekingente	f	Pekingente	Pekingenten
Pekinger	m	Pekingers	Pekinger
Pekingmensch	m	Pekingmenschen	Pekingmenschen
Pektin	n	Pektins	Pektine
Pektorale	n	Pektorales	Pektorales
Pelagial	n	Pelagials	Pelagiale
Pelagos	n	Pelagos	Pelagien
Pelargonaldehyd	m	Pelargonaldehyds	
Pelargonie	f	Pelargonie	Pelargonien
Pelargonsäure	f	Pelargonsäure	
Pelasger	m	Pelasgers	Pelasger
Pelerine	f	Pelerine	Pelerinen
Peleusball	m	Peleusballs	Peleusbälle
Pelikan	m	Pelikans	Pelikane
Pelikanaal	m	Pelikanaals	Pelikanaale
Pelle	f	Pelle	Pellen
Pellet	n	Pellets	Pellets
Pelletheizung	f	Pelletheizung	Pelletheizungen
Pelletierung	f	Pelletierung	Pelletierungen
Pelletofen	m	Pelletofens	Pelletöfen
Pellikel		Pellikels	Pellikel
Pellkartoffel	f	Pellkartoffel	Pellkartoffeln
Pelluzidität	f	Pelluzidität	
Pelmen	m	Pelmens	Pelmeni
Peloton	n	Pelotons	Pelotons
Peltast	m	Peltasten	Peltasten
Pelte	f	Pelte	Pelten
Peltonrad	n	Peltonrades	Peltonräder
Pelz	m	Pelzes	Pelze
Pelzchen	n	Pelzchens	Pelzchen
Pelzdecke	f	Pelzdecke	Pelzdecken
Pelzhandel	m	Pelzhandels	
Pelzhändler	m	Pelzhändlers	Pelzhändler
Pelzhändlerin	f	Pelzhändlerin	Pelzhändlerinnen
Pelzjacke	f	Pelzjacke	Pelzjacken
Pelzjäger	m	Pelzjägers	Pelzjäger
Pelzkappe	f	Pelzkappe	Pelzkappen
Pelzkragen	m	Pelzkragens	Pelzkragen
Pelzkrawatte	f	Pelzkrawatte	Pelzkrawatten
Pelzmantel	m	Pelzmantels	Pelzmäntel
Pelzmärtel	m	Pelzmärtel	Pelzmärtel
Pelzmütze	f	Pelzmütze	Pelzmützen
Pelzraub	m	Pelzraubs	Pelzraube
Pelzstiefel	m	Pelzstiefels	Pelzstiefel
Pelzstola	f	Pelzstola	Pelzstolen
Pelztier	n	Pelztiers	Pelztiere
Pelztierzucht	f	Pelztierzucht	
Pemmikan	m	Pemmikans	
Pen-&-Paper-Rollenspiel	n	Pen-&-Paper-Rollenspiels	Pen-&-Paper-Rollenspiele
Penalty	m	Penalty	Penaltys
Penchant	m	Penchants	Penchants
Pendant	n	Pendants	Pendants
Pendel	n	Pendels	Pendel
Pendeldiplomatie	f	Pendeldiplomatie	
Pendelei	f	Pendelei	Pendeleien
Pendeltür	f	Pendeltür	Pendeltüren
Pendeluhr	f	Pendeluhr	Pendeluhren
Pendelverkehr	m	Pendelverkehrs	Pendelverkehre
Pendentif	n	Pendentifs	Pendentifs
Pendenz	f	Pendenz	Pendenzen
Pendler	m	Pendlers	Pendler
Pendlerin	f	Pendlerin	Pendlerinnen
Pendlerpauschale		Pendlerpauschale	Pendlerpauschalen
Pendlerzug	m	Pendlerzuges	Pendlerzüge
Pendule	f	Pendule	Pendulen
Pendüle	f	Pendüle	Pendülen
Penetranz	f	Penetranz	Penetranzen
Penetration	f	Penetration	Penetrationen
Penetrationstest	m	Penetrationstests	Penetrationstests
Penibilität	f	Penibilität	
Penicillin	n	Penicillins	Penicilline
Penis	m	Penis	Penisse
Penisamputation	f	Penisamputation	Penisamputationen
Penisbild	n	Penisbilds	Penisbilder
Penisbruch	m	Penisbruches	Penisbrüche
Peniselephantiasis	f	Peniselephantiasis	
Penisgröße	f	Penisgröße	Penisgrößen
Penisknochen	m	Penisknochens	Penisknochen
Penisköcher	m	Penisköchers	Penisköcher
Penisneid	m	Penisneids	
Penispumpe	f	Penispumpe	Penispumpen
Penisspitze	f	Penisspitze	Penisspitzen
Penisverletzung	f	Penisverletzung	Penisverletzungen
Penisvorhaut	f	Penisvorhaut	Penisvorhäute
Penizillin	n	Penizillins	Penizilline
Pennal	n	Pennals	Pennale
Penne	f	Penne	Pennen
Penner	m	Penners	Penner
Pennerin	f	Pennerin	Pennerinnen
Pennsylvania-Deutsch	n	(des) Pennsylvania-Deutsch	
Pennsylvaniadeutsch	n	(des) Pennsylvaniadeutsch	
Penny	m	Pennys	Pennys
Pennäler	m	Pennälers	Pennäler
Pennälerin	f	Pennälerin	Pennälerinnen
Pennälersprache	f	Pennälersprache	
Pension	f	Pension	Pensionen
Pensionat	n	Pensionats	Pensionate
Pensionierung	f	Pensionierung	Pensionierungen
Pensionist	m	Pensionisten	Pensionisten
Pensionistenheim	n	Pensionistenheims	Pensionistenheime
Pensionistin	f	Pensionistin	Pensionistinnen
Pensionsalter	n	Pensionsalters	Pensionsalter
Pensionsanspruch	m	Pensionsanspruches	Pensionsansprüche
Pensionsbeitrag	m	Pensionsbeitrages	Pensionsbeiträge
Pensionsberechtigung	f	Pensionsberechtigung	Pensionsberechtigungen
Pensionsbetreiber	m	Pensionsbetreibers	Pensionsbetreiber
Pensionsfonds	m	Pensionsfonds	Pensionsfonds
Pensionsgast	m	Pensionsgastes	Pensionsgäste
Pensionsgrenze	f	Pensionsgrenze	Pensionsgrenzen
Pensionskasse	f	Pensionskasse	Pensionskassen
Pensionär	m	Pensionärs	Pensionäre
Pensum	n	Pensums	Pensen
Pentacosan	n	Pentacosans	Pentacosane
Pentade	f	Pentade	Pentaden
Pentadecan	n	Pentadecans	Pentadecane
Pentadecanal	n	Pentadecanals	
Pentadecansäure	f	Pentadecansäure	
Pentagon	n	Pentagon	Pentagone
Pentagonhexakontaeder		Pentagonhexakontaeders	Pentagonhexakontaeder
Pentagonikositetraeder		Pentagonikositetraeders	Pentagonikositetraeder
Pentagramm	n	Pentagramms	Pentagramme
Pentalogie	f	Pentalogie	Pentalogien
Pentalpha	n	Pentalpha	Pentalphas
Pentameter	m	Pentameters	Pentameter
Pentan	n	Pentans	Pentane
Pentanal	n	Pentanals	Pentanale
Pentandisäure	f	Pentandisäure	
Pentanonsäure	f	Pentanonsäure	
Pentansäure	f	Pentansäure	
Pentarchie	f	Pentarchie	Pentarchien
Pentateuch	m	Pentateuchs	
Pentathlon		Pentathlons	Pentathlons
Pentatriacontan	n	Pentatriacontans	Pentatriacontane
Pentavalenz	f	Pentavalenz	
Penten	n	Pentens	Pentene
Pentere	f	Pentere	Penteren
Penthaus	n	Penthauses	Penthäuser
Penthemimeres	f	Penthemimeres	Penthemimeres
Penthouse	n	Penthouses	Penthouses
Pentimenti			Pentimenti
Pentin	n	Pentins	Pentine
Pentothal	n	Pentothals	
Pentrer	m	Pentrers	Pentrer
Penumbra	f	Penumbra	Penumbren
Penunse	f	Penunse	Penunsen
Penunze	f	Penunze	Penunzen
Pep	m	Pep	
Peperoni		Peperoni	Peperoni
Peperonipaste	f	Peperonipaste	Peperonipasten
Peperonipizza	f	Peperonipizza	Peperonipizzas
Peperonipulver	n	Peperonipulvers	Peperonipulver
Pepita		Pepitas	Pepitas
Pepping	m	Peppings	Peppinge
Pepsin	n	Pepsins	Pepsine
Peptid	n	Peptids	Peptide
Pequot	m	Pequot	Pequot
Percheron	n	Percheron	Percherons
Perchlorat	n	Perchlorates	Perchlorate
Perchlorsäure	f	Perchlorsäure	
Percht	f	Percht	Perchten
Percocet	n	Percocet	
Percodan	n	Percodans	
Perestroika	f	Perestroika	
Perestrojka	f	Perestrojka	
Perfekt	n	Perfekts	Perfekte
Perfektibilität	f	Perfektibilität	
Perfektion	f	Perfektion	
Perfektionismus	m	Perfektionismus	
Perfektionist	m	Perfektionisten	Perfektionisten
Perfektionistin	f	Perfektionistin	Perfektionistinnen
Perfektpartizip	n	Perfektpartizips	Perfektpartizipien
Perfektstamm	m	Perfektstammes	Perfektstämme
Perfidie	f	Perfidie	Perfidien
Perfidität	f	Perfidität	Perfiditäten
Perforation	f	Perforation	Perforationen
Perforiermaschine	f	Perforiermaschine	Perforiermaschinen
Perforierung	f	Perforierung	Perforierungen
Performance	f	Performance	Performances
Performanceindex	m	Performanceindex	Performanceindexe
Performanz	f	Performanz	Performanzen
Performativität	f	Performativität	
Pergamener	m	Pergameners	Pergamener
Pergament	n	Pergaments	Pergamente
Pergamentblatt	n	Pergamentblatts	Pergamentblätter
Pergamentbogen	m	Pergamentbogens	Pergamentbogen
Pergamentpapier	n	Pergamentpapieres	Pergamentpapiere
Pergamentrolle	f	Pergamentrolle	Pergamentrollen
Pergamon-Altar	m	Pergamon-Altares	
Pergamon-Museum	n	Pergamon-Museums	
Pergamonaltar	m	Pergamonaltares	
Pergamonmuseum	n	Pergamonmuseums	
Pergola	f	Pergola	Pergolen
Perhorreszierung	f	Perhorreszierung	Perhorreszierungen
Perianth	n	Perianths	Perianthe
Periastron	n	Periastrons	Periastra
Periblem	n	Periblems	Peribleme
Perigon	n	Perigons	Perigone
Perigäum	n	Perigäums	Perigäen
Perihel	n	Perihels	Perihele
Perikarp	n	Perikarps	Perikarpe
Perikopenbuch	n	Perikopenbuchs	Perikopenbücher
Perikymatie	f	Perikymatie	Perikymatien
Perimeter	n	Perimeters	Perimeter
Perinatologe	m	Perinatologen	Perinatologen
Perinatologie	f	Perinatologie	
Perinatologin	f	Perinatologin	Perinatologinnen
Perineotomie	f	Perineotomie	Perineotomien
Perineum	n	Perineums	Perinea
Periode	f	Periode	Perioden
Perioden-Leuchtkraft-Beziehung	f	Perioden-Leuchtkraft-Beziehung	
Periodendauer	f	Periodendauer	Periodendauern
Periodenfrequenz	f	Periodenfrequenz	Periodenfrequenzen
Periodensystem	n	Periodensystems	
Periodikum	n	Periodikums	Periodika
Periodisierung	f	Periodisierung	Periodisierungen
Periodizität	f	Periodizität	Periodizitäten
Periost	n	Periosts	Perioste
Periostalgie	f	Periostalgie	Periostalgien
Peripetie	f	Peripetie	Peripetien
Peripherie	f	Peripherie	Peripherien
Periphrase	f	Periphrase	Periphrasen
Periplus	m	Periplus	Periploi
Peripteros	m	Peripteros	Peripteren
Periskop	n	Periskops	Periskope
Perispomenon	n	Perispomenons	Perispomena
Peristaltik	f	Peristaltik	
Peristom	n	Peristoms	
Peristyl	n	Peristyls	Peristyle
Peritoneum	n	Peritoneums	Peritoneen
Peritonitis	f	Peritonitis	Peritonitiden
Periöke	m	Periöken	Periöken
Perkolation	f	Perkolation	Perkolationen
Perkussion	f	Perkussion	Perkussionen
Perkussionsinstrument	n	Perkussionsinstruments	Perkussionsinstrumente
Perl	n	Perl	
Perlage	f	Perlage	
Perlaggen	n	Perlaggens	
Perle	f	Perle	Perlen
Perleberger	m	Perlebergers	Perleberger
Perlebergerin	f	Perlebergerin	Perlebergerinnen
Perlenkette	f	Perlenkette	Perlenketten
Perlenschnur	f	Perlenschnur	Perlenschnüre
Perlentaucher	m	Perlentauchers	Perlentaucher
Perlhuhn	n	Perlhuhns	Perlhühner
Perlmuschel	f	Perlmuschel	Perlmuscheln
Perlmutt	n	Perlmutts	
Perlmutter		Perlmutter	
Perlmuttgriff	m	Perlmuttgriffes	Perlmuttgriffe
Perlmuttknopf	m	Perlmuttknopfes	Perlmuttknöpfe
Perlmuttschicht	f	Perlmuttschicht	Perlmuttschichten
Perlmuttwolke	f	Perlmuttwolke	Perlmuttwolken
Perlokution	f	Perlokution	Perlokutionen
Perlonstrumpf	m	Perlonstrumpfes	Perlonstrümpfe
Perlpilz	m	Perlpilzes	Perlpilze
Perlwein	m	Perlweines	Perlweine
Perlweiß	n	Perlweißes	
Perlzwiebel	f	Perlzwiebel	Perlzwiebeln
Perm	n	Perms	
Permafrost	m	Permafrosts	Permafröste
Permafrostboden	m	Permafrostbodens	Permafrostböden
Permanentmagnet	m	Permanentmagnets	Permanentmagnete
Permanenz	f	Permanenz	
Permeabilität	f	Permeabilität	Permeabilitäten
Permissivität	f	Permissivität	
Permutation	f	Permutation	Permutationen
Pernod	m	Pernod	Pernod
Peronismus	m	Peronismus	
Peronist	m	Peronisten	Peronisten
Peronistin	f	Peronistin	Peronistinnen
Peroxid	n	Peroxides	Peroxide
Perpendikel	n	Perpendikels	Perpendikel
Perpetuierung	f	Perpetuierung	Perpetuierungen
